 Table Num , Table Name , Label , File , Note,data,estimate method
 Table 11 , Correlations of Cognitive and Non-Cognitive Skills , tab:corr_cog_noncog_short , task/t0.R ,"    Source: Saitama Skill Assessment 2016-2018.

    Note: We present the correlation coefficients between test scores and noncognitive skills. Standard errors are in parentheses.", Saitama Skill Assessment 2015-2018.,calculation
 Table 12 , Attrition Rate: March (Youngest) vs April (Oldest) , tab:attrition , task/t33.py ,"    Source: Saitama Skill Assessment 2016-2018.

    Note: We present the attrition rates for March-born and April-born students in grades four to nine in public schools in Saitama. These rates are calculated as the proportion of students who leave the public school system. Numbers in the cells are percent.", Saitama Skill Assessment 2015-2018.,calculation
 Table 13 , Proportions of March-born (Youngest) and April-born (Oldest) Students , tab:prop-march-april , task/t33.py ,"    Source: Saitama Skill Assessment 2016-2018.

    Note: We present the proportions of students born in March and April for each grade level, from grade four to grade eight. To calculate these proportions, we divided the number of students born in March and April by the total number of students in each respective grade. Numbers in the cells are percent.", Saitama Skill Assessment 2015-2018.,calculation
 Table 14 ,Testing Whether the Distribution of Birth Month Significantly Change From One Grade to Another by Kolmogorov-Smirnov Test , tab:ks-test , task/t33.py ,"    Source: Saitama Skill Assessment 2016-2018.

    Note: We present the results of Kolmogorov-Smirnov test on whether the distribution of birth month significantly change from one grade to another. The null hypothesis is that the distributions of birth month are identical for two adjacent grades.  Test statistics are reported, and p-values are shown in parentheses.", Saitama Skill Assessment 2015-2018., Kolmogorov-Smirnov Test
 Table 15, Nonparametric Comparisons Between March and April,tab:diff_in_3_4_on_vital_stat_cog, task/t34.R ,"    Source: Saitama Skill Assessment 2015-2018.

    We present the gaps in test scores and noncognitive skills between the oldest and youngest students nonparametrically, using a dummy variable to represent whether a student is born in April. Each estimate in the cell is obtained from a separate regression. Standard errors are in parentheses. ", Saitama Skill Assessment 2015-2018.,is_april dummy
 Table 16, Nonparametric Comparisons Between March and April,tab:diff_in_3_4_on_vital_stat_life, task/t34.R ,"    Source: Saitama Skill Assessment 2015-2018.

    We present the gaps in human capital investment and interpersonal relationships between the oldest and youngest students nonparametrically, using a dummy variable to represent whether a student is born in April. Each estimate in the cell is obtained from a separate regression. Standard errors are in parentheses. ", Saitama Skill Assessment 2015-2018.,is_april dummy
 Table 17, Nonparametric Comparisons Between March and April,, task/t35.R ,"    Source: Vital Statistics from April 2000 to March 2011.

    We present the gaps in family background and birth outcomes between the oldest and youngest students nonparametrically, using a dummy variable to represent whether a student is born in April. Each estimate in the cell is obtained from a separate regression. Standard errors are in parentheses. ",Vital Statistics,is_april dummy
 Table 18, Nonparametric Comparisons Between March and April,, task/t36.R ,"    Source: Administrative data from a municipality in the province.

    We present the gaps in family background between the oldest and youngest students nonparametrically, using a dummy variable to represent whether a student is born in April. Each estimate in the cell is obtained from a separate regression. Standard errors are in parentheses. ",a municipality,is_april dummy
 Table 19 , Month-of-Birth Gaps in the Growth of Test Scores and Noncognitive Skills , tab:reg_growth , task/t8.R ,"    Source: Saitama Skill Assessment 2015-2018.

    Note: The gaps in 1-year growth of an outcome between the oldest and youngest students are based on equations (\ref{eqn:OLS}) and (\ref{eqn:OLS-gap}). Each estimate in the cell is obtained from a separate regression. The control variables include school fixed effects, survey year fixed effects, gender, and number of books at home. Standard errors are in parentheses. All estimates in columns (1)-(3) are statistically significant at the 1\% level when p-values are adjusted for multiple testing of 11 hypotheses using a method that controls for a false discovery rate (see \cite{benjamini1995controlling}). None of the estimates in columns (4)-(6) are statistically significant at any conventional level when p-values are adjusted.", Saitama Skill Assessment 2015-2018.,"\ref{eqn:OLS}, ref{eqn:OLS-gap}"
 Table 20, Heterogeneous Month-of-Birth Effects by Gender , tab:gender-reg , task/t3.R ,"    Source: Saitama Skill Assessment 2015-2018.

    Note: The gaps in month-of-birth effects (based on equation \ref{eqn:OLS-gap})between boys and girls are reported. The control variables include school fixed effects, survey year fixed effects, gender, and number of books at home. Standard errors are in parentheses. None of the estimates are statistically significant when p-values are adjusted for multiple testing, using a method that controls for a false discovery rate (see \cite{benjamini1995controlling}).", Saitama Skill Assessment 2015-2018.,"\ref{eqn:OLS}, ref{eqn:OLS-gap}"
 Table 21,  Heterogeneous Month-of-Birth Effects by SES (No. of Books at Home) , tab:ses-reg , task/t3.R  ,"    Source: Saitama Skill Assessment 2015-2018.

    Note: The gaps in month-of-birth effects (based on equation \ref{eqn:OLS-gap}) between low-SES students and others are reported. We define low-SES students as those who have 0-10 books at home. The control variables include school fixed effects, survey year fixed effects, gender, and number of books at home. Standard errors are in parentheses. All but one of the estimates are statistically significant when p-values are adjusted for multiple testing, using a method that controls for a false discovery rate (see \cite{benjamini1995controlling}). The exception is the estimate for math when observations are pooled across grades (labeled as All).", Saitama Skill Assessment 2015-2018.,"\ref{eqn:OLS}, ref{eqn:OLS-gap}"
 Table 22 , Heterogeneous Month-of-Birth Effects by SES (Family Income) , tab:lowincome-reg , task/t19.R ,"    Source: Saitama Skill Assessment and administrative data from a municipality in 2015 and 2018.

    Note: The gaps in month-of-birth effects (based on equation \ref{eqn:OLS-gap}) between low-SES students and others are reported. We define low-SES students by whether their family receives an education subsidy for low-income households. The control variables include school fixed effects, survey year fixed effects, gender, and number of books at home. Standard errors are in parentheses."," Saitama Skill Assessment 2015-2018.
a municipality","\ref{eqn:OLS}, ref{eqn:OLS-gap}"
 Table 23," Month-of-Birth Effects for 10th, 50th, and 90th ", tab:quantile-reg, task/t22.R ,"    Source: Saitama Skill Assessment 2015-2018.

    Note: We present the estimated gaps between the oldest and youngest students in the same cohort for the 10th, 50th, and 90th percentiles using quantile regression. All models include school fixed effects, survey year fixed effects, gender, and number of books at home. Standard errors are in parentheses.　The standard errors are based on nonparametric bootstrap with 100 replications.", Saitama Skill Assessment 2015-2018.,quantile
 Table 24, 10th-50th and 50th-90th Percentile Gaps in Month-of-Birth Effects , tab:qreg-test , task/t22.R ,"    Source: Saitama Skill Assessment 2015-2018.

    Note: We present 10th-50th and 50th-90th percentile gaps in month-of-birth effects. All models include school fixed effects, survey year fixed effects, gender, and number of books at home. The first parenthesis represents the standard error, and the second parenthesis represents the confidence interval.　These values are based on nonparametric bootstrap with 100 replications.", Saitama Skill Assessment 2015-2018.,quantile
 Table 25 , Test Score Gaps Between Grades for Same Age , tab:rdd_cog , task/t17.R ,"    Source: Saitama Skill Assessment 2015-2018.

    Note: We present differences test score gaps between grades for the same age based on equation \ref{eqn:RDD}. The controls include school fixed effects, survey year fixed effects, gender, and number of books at home. Standard errors are in parentheses. Standard errors are in parentheses.", Saitama Skill Assessment 2015-2018.,\ref{eqn:RDD}
 Table 26 , Regressions of Cognitive and Noncognitive Skills on Inputs and Personal Relationships , tab:reg_cog_noncog_on_inputs , task/t6.R ,"    Source: Saitama Skill Assessment 2015-2018.

    Note: Control variables include gender, number of books at home, and school and year fixed effects. Standard errors are in parentheses.", Saitama Skill Assessment 2015-2018.,
 Table 27, Regressions of Parents' Ages on Birth Month and Time Trend,, task/t14.R ,"       Source: Vital Statistics from April 2000 to March 2011.

        Note: We present differences in the estimated means of family background and birth outcomes between April- and March-born children (e.g. $E(Y|\mathrm{April})-E(Y|\mathrm{March})$). To do so, we regress parental characteristics and birth outcomes on age, age squared, birth-year dummies and liner time trend using equation (\ref{eqn:OLS}) and estimate the gaps between March- and April-born children using equation (\ref{eqn:OLS-gap}). Standard errors are in parentheses. ",Vital Statistics,
